,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
81,Entire home/apt,Oud Oost,4,5.0,4,2.0,193.0,New & central 2BR-apartment incl private parking,2017-07-23 09:55:30.159672,52.355795,4.9144
82,Entire home/apt,Ijburg / Eiland Zeeburg,11,4.5,4,2.0,201.0,Modern family house on  city island,2017-07-23 09:48:50.120249,52.352971000000004,5.005403
83,Entire home/apt,Ijburg / Eiland Zeeburg,10,5.0,4,4.0,193.0,Spacious house Amsterdam + 2x FREE parking,2017-07-23 09:48:36.438819,52.354023,5.003133
90,Entire home/apt,Buitenveldert / Zuidas,8,4.5,4,2.0,180.0,Absolutely fabulous,2017-07-23 09:36:20.310313,52.324397,4.866871
92,Entire home/apt,Westerpark,9,5.0,2,1.0,168.0,Light & Modern Amsterdam Apartment,2017-07-23 09:22:04.879252,52.381631,4.86808
93,Entire home/apt,Oostelijk Havengebied / Indische Buurt,15,4.5,3,1.0,150.0,Appt.ment at park 10min from centre,2017-07-23 09:11:29.253050,52.359367999999996,4.943298
95,Entire home/apt,De Pijp / Rivierenbuurt,4,4.5,4,2.0,150.0,Houseboat Amsterdam,2017-07-23 09:08:47.952539,52.352703000000005,4.90859
96,Entire home/apt,Ijburg / Eiland Zeeburg,9,5.0,4,2.0,145.0,Light and spacious family house,2017-07-23 08:58:09.226421,52.351876000000004,5.006576
100,Entire home/apt,Ijburg / Eiland Zeeburg,4,4.5,7,5.0,168.0,Lovely modern family house with private parking,2017-07-23 08:37:50.844709,52.35217,4.999629
101,Entire home/apt,Centrum West,23,4.5,2,0.0,177.0,Light & peaceful canal view apartment,2017-07-23 08:35:36.275537,52.376118,4.884034
103,Entire home/apt,Noord Oost,11,4.5,6,3.0,168.0,*Beautiful *lakeside*family-house,2017-07-23 08:12:01.562200,52.414304,5.027689
107,Entire home/apt,De Baarsjes / Oud West,80,5.0,2,1.0,144.0,"Cosy, near city center, parks, WIFI",2017-07-23 07:45:31.725271,52.367791,4.850668
110,Entire home/apt,Westerpark,8,5.0,2,1.0,137.0,Great apartment in Beautiful quite Westerpark Area,2017-07-23 07:36:26.151112,52.384346,4.871207
112,Entire home/apt,Oostelijk Havengebied / Indische Buurt,11,5.0,3,1.0,132.0,Cosy & light apartment eastside!,2017-07-23 07:35:02.659907,52.361715000000004,4.9329529999999995
117,Entire home/apt,Centrum Oost,59,5.0,2,0.0,108.0,Central & spacious design loft in museum district,2017-07-23 07:19:50.713009,52.359513,4.891166
118,Entire home/apt,Oud Oost,8,5.0,2,1.0,112.0,Quiet apt next to Amstel River,2017-07-23 07:19:50.706651,52.356871999999996,4.909358999999999
119,Entire home/apt,Bijlmer Oost,5,4.0,5,0.0,119.0,"Amsterdam Studio, Parking Free!",2017-07-23 07:15:58.572813,52.323668,4.959912999999999
121,Entire home/apt,Oostelijk Havengebied / Indische Buurt,7,5.0,4,1.0,124.0,Spacious 2 floor app. + roofterrace,2017-07-23 07:09:04.173300,52.364509999999996,4.941742
122,Entire home/apt,Oostelijk Havengebied / Indische Buurt,7,4.5,4,2.0,108.0,Comfortable 2BD apartment close to Flevopark | 4P,2017-07-23 07:08:59.923392,52.359705,4.940978
124,Entire home/apt,Centrum West,32,5.0,2,1.0,119.0,"Beautiful, big & cosy Jordaan appt!",2017-07-23 06:56:11.525115,52.378978000000004,4.881797
132,Entire home/apt,Watergraafsmeer,16,4.5,2,1.0,96.0,Garden appartement including bikes!,2017-07-23 06:44:41.331443,52.350376000000004,4.922197
133,Entire home/apt,De Baarsjes / Oud West,17,4.0,2,1.0,87.0,Amsterdam 1 bedroom apartment,2017-07-23 06:40:38.502874,52.364669,4.853038
134,Entire home/apt,De Baarsjes / Oud West,26,5.0,2,1.0,102.0,Centrally located apartment,2017-07-23 06:40:38.493813,52.363858,4.863847
136,Entire home/apt,Buitenveldert / Zuidas,25,4.5,4,2.0,90.0,Spacious 65m2 appartment,2017-07-23 06:36:41.391374,52.324977000000004,4.884253
137,Entire home/apt,Bijlmer Centrum,28,4.5,2,0.0,96.0,"Cosy, Clean, Cute 2BD ",2017-07-23 06:36:35.191533,52.321186,4.952329
138,Entire home/apt,Oostelijk Havengebied / Indische Buurt,3,5.0,2,1.0,102.0,"Very nice, clean and cozy apartment @AmsterdamEast",2017-07-23 06:33:23.399653,52.363177,4.9327879999999995
141,Entire home/apt,Centrum West,6,5.0,4,1.0,90.0,Apartment Central Amsterdam,2017-07-23 06:28:10.346201,52.378811,4.885452
143,Entire home/apt,De Pijp / Rivierenbuurt,11,5.0,2,1.0,96.0,Light 1 bed appt in trendy De Pijp,2017-07-23 06:27:09.716286,52.35562,4.894766000000001
144,Entire home/apt,Bos en Lommer,5,4.5,4,0.0,84.0,REMBRANDTPARK APARTMENT PENTHOUSE VIEWS OVER DAM,2017-07-23 06:26:33.866722,52.377657,4.848016
145,Entire home/apt,Westerpark,29,4.5,2,1.0,90.0,Light airy apartment with balcony,2017-07-23 06:24:43.102307,52.384011,4.87206
147,Entire home/apt,Centrum Oost,4,5.0,2,1.0,98.0,Beautiful apartment in the city centre + breakfast,2017-07-23 06:24:06.304336,52.367748,4.9011190000000004
148,Entire home/apt,Noord Oost,57,5.0,3,1.0,96.0,"Wooden Garden House, the Mulberry",2017-07-23 06:23:46.092451,52.414879,5.026701
149,Entire home/apt,Westerpark,7,4.5,2,1.0,91.0,Industrial and Minimal Palace,2017-07-23 06:22:57.909213,52.394459000000005,4.877692
150,Entire home/apt,Westerpark,4,5.0,4,2.0,72.0,Bright & modern apartment (80m) next to Westerpark,2017-07-23 06:22:53.833848,52.392916,4.875668
152,Entire home/apt,Watergraafsmeer,7,4.5,3,1.0,71.0,Private apartment in Amsterdam East,2017-07-23 06:22:52.116444,52.339005,4.944442
156,Entire home/apt,Osdorp,4,4.5,2,1.0,72.0,Welcome Home!,2017-07-23 06:22:52.095394,52.35756,4.788377
157,Entire home/apt,Bijlmer Oost,33,5.0,4,1.0,73.0,Spacious & Furnished apartment,2017-07-23 06:22:49.307130,52.320221000000004,4.983094
159,Entire home/apt,Noord-West / Noord-Midden,3,5.0,2,1.0,66.0,Lovely Apartment,2017-07-23 06:22:46.165168,52.351007,4.847405
160,Entire home/apt,Osdorp,19,5.0,2,1.0,68.0,Gezellig appartement in Amsterdam,2017-07-23 06:22:46.154098,52.364649,4.799914
161,Entire home/apt,Bos en Lommer,278,5.0,2,0.0,66.0,Small but complete Studio for rent!,2017-07-23 06:22:46.151240,52.376583000000004,4.845293
162,Entire home/apt,De Baarsjes / Oud West,4,5.0,4,2.0,73.0,"CatLover Special! 11dys, whole apartment discount",2017-07-23 06:22:40.295792,52.363640000000004,4.869863
